id,customer_id,type,nominal,balance,description,created_at,updated_at,unique_id,tgl_transaksi,kode_transaksi,type_transaksi,kategori_transaksi
54483491,29013,+,558,558,Return Unique Code dari Invoice INV#39467,2023-09-07T23:56:16.000+08:00,2023-09-07T23:56:16.000+08:00,,07/09/2023,,,Refund
54483490,29012,+,621,621,Return Unique Code dari Invoice INV#39466,2023-09-07T23:48:49.000+08:00,2023-09-07T23:48:49.000+08:00,,07/09/2023,,,Refund
54483423,19990,+,500251,1750178,#260608 Deposit Saldo Rp 500.251 Melalui Bank BRI By Sistem,2023-09-07T22:30:53.000+08:00,2023-09-07T22:30:53.000+08:00,,07/09/2023,,,Deposit
54483357,25189,+,150466,203341,#260606 Deposit Saldo Rp 150.466 Melalui Bank BNI By Sistem,2023-09-07T22:03:57.000+08:00,2023-09-07T22:03:57.000+08:00,,07/09/2023,,,Deposit
54483226,3524,+,100316,103120,#260607 Deposit Saldo Rp 100.316 Melalui Bank BCA By Sistem,2023-09-07T21:59:49.000+08:00,2023-09-07T21:59:49.000+08:00,,07/09/2023,,,Deposit
54483207,21259,+,5000667,10307068,#260605 Deposit Saldo Rp 5.000.667 Melalui Bank BNI By Sistem,2023-09-07T21:53:41.000+08:00,2023-09-07T21:53:41.000+08:00,,07/09/2023,,,Deposit
54483164,22439,+,500234,684869,#260604 Deposit Saldo Rp 500.234 Melalui Bank Mandiri By Sistem,2023-09-07T21:45:12.000+08:00,2023-09-07T21:45:12.000+08:00,,07/09/2023,,,Deposit
54483145,19353,+,300717,427818,#260602 Deposit Saldo Rp 300.717 Melalui Bank BRI By Sistem,2023-09-07T21:39:39.000+08:00,2023-09-07T21:39:39.000+08:00,,07/09/2023,,,Deposit
54483144,799,+,300610,302665,#260601 Deposit Saldo Rp 300.610 Melalui Bank BRI By Sistem,2023-09-07T21:39:39.000+08:00,2023-09-07T21:39:39.000+08:00,,07/09/2023,,,Deposit
54483143,20900,+,750136,1338745,#260603 Deposit Saldo Rp 750.136 Melalui Bank BRI By Sistem,2023-09-07T21:39:38.000+08:00,2023-09-07T21:39:38.000+08:00,,07/09/2023,,,Deposit
54483140,24980,+,600367,1017759,#260600 Deposit Saldo Rp 600.367 Melalui Bank Mandiri By Sistem,2023-09-07T21:38:42.000+08:00,2023-09-07T21:38:42.000+08:00,,07/09/2023,,,Deposit
54483118,20391,+,500828,501407,#260597 Deposit Saldo Rp 500.828 Melalui Bank BRI By Sistem,2023-09-07T21:34:28.000+08:00,2023-09-07T21:34:28.000+08:00,,07/09/2023,,,Deposit
54483110,19990,+,2000807,3014987,#260599 Deposit Saldo Rp 2.000.807 Melalui Bank BCA By Sistem,2023-09-07T21:33:31.000+08:00,2023-09-07T21:33:31.000+08:00,,07/09/2023,,,Deposit
54483088,20588,+,300764,666208,#260596 Deposit Saldo Rp 300.764 Melalui Bank BCA By Sistem,2023-09-07T21:29:39.000+08:00,2023-09-07T21:29:39.000+08:00,,07/09/2023,,,Deposit
54483086,19650,+,150275,781343,#260595 Deposit Saldo Rp 150.275 Melalui Bank BRI By Sistem,2023-09-07T21:29:16.000+08:00,2023-09-07T21:29:16.000+08:00,,07/09/2023,,,Deposit
54483047,19577,+,800359,1369782,#260594 Deposit Saldo Rp 800.359 Melalui Bank BRI By Sistem,2023-09-07T21:19:09.000+08:00,2023-09-07T21:19:09.000+08:00,,07/09/2023,,,Deposit
54483020,19990,+,1000705,1394450,#260593 Deposit Saldo Rp 1.000.705 Melalui Bank BRI By Sistem,2023-09-07T21:13:52.000+08:00,2023-09-07T21:13:52.000+08:00,,07/09/2023,,,Deposit
54483004,1227,+,499879,693761,#260592 Deposit Saldo Rp 499.879 Melalui Bank BNI By Sistem,2023-09-07T21:10:31.000+08:00,2023-09-07T21:10:31.000+08:00,,07/09/2023,,,Deposit
54483003,3287,+,940124,1677653,#260590 Deposit Saldo Rp 940.124 Melalui Bank BNI By Sistem,2023-09-07T21:10:30.000+08:00,2023-09-07T21:10:30.000+08:00,,07/09/2023,,,Deposit
54482953,4417,+,600716,3039887,#260588 Deposit Saldo Rp 600.716 Melalui Bank BRI By Sistem,2023-09-07T21:03:38.000+08:00,2023-09-07T21:03:38.000+08:00,,07/09/2023,,,Deposit
54482949,6232,+,200180,385186,#260589 Deposit Saldo Rp 200.180 Melalui Bank BCA By Sistem,2023-09-07T21:03:22.000+08:00,2023-09-07T21:03:22.000+08:00,,07/09/2023,,,Deposit
54482884,3873,+,1000790,1456975,#260587 Deposit Saldo Rp 1.000.790 Melalui Bank BRI By Sistem,2023-09-07T20:53:22.000+08:00,2023-09-07T20:53:22.000+08:00,,07/09/2023,,,Deposit
54482883,19990,+,500764,1074255,#260586 Deposit Saldo Rp 500.764 Melalui Bank BRI By Sistem,2023-09-07T20:53:22.000+08:00,2023-09-07T20:53:22.000+08:00,,07/09/2023,,,Deposit
54482882,24594,+,500426,526219,#260585 Deposit Saldo Rp 500.426 Melalui Bank BRI By Sistem,2023-09-07T20:53:21.000+08:00,2023-09-07T20:53:21.000+08:00,,07/09/2023,,,Deposit
54482845,3681,+,100340,102643,#260584 Deposit Saldo Rp 100.340 Melalui Bank BCA By Sistem,2023-09-07T20:48:05.000+08:00,2023-09-07T20:48:05.000+08:00,,07/09/2023,,,Deposit
54482810,20241,+,250671,276276,#260583 Deposit Saldo Rp 250.671 Melalui Bank BRI By Sistem,2023-09-07T20:43:17.000+08:00,2023-09-07T20:43:17.000+08:00,,07/09/2023,,,Deposit
54482778,4692,+,100877,3343260,#260582 Deposit Saldo Rp 100.877 Melalui Bank BRI By Sistem,2023-09-07T20:38:11.000+08:00,2023-09-07T20:38:11.000+08:00,,07/09/2023,,,Deposit
54482777,1608,+,129271,150543,#260581 Deposit Saldo Rp 129.271 Melalui Bank BRI By Sistem,2023-09-07T20:38:10.000+08:00,2023-09-07T20:38:10.000+08:00,,07/09/2023,,,Deposit
54482740,19650,+,200412,631068,#260580 Deposit Saldo Rp 200.412 Melalui Bank BRI By Sistem,2023-09-07T20:33:16.000+08:00,2023-09-07T20:33:16.000+08:00,,07/09/2023,,,Deposit
54482685,19762,+,100141,132494,#260576 Deposit Saldo Rp 100.141 Melalui Bank BNI By Sistem,2023-09-07T20:24:23.000+08:00,2023-09-07T20:24:23.000+08:00,,07/09/2023,,,Deposit
54482679,19990,+,1500821,1894211,#260579 Deposit Saldo Rp 1.500.821 Melalui Bank BRI By Sistem,2023-09-07T20:23:27.000+08:00,2023-09-07T20:23:27.000+08:00,,07/09/2023,,,Deposit
54482632,19990,+,200291,393390,#260578 Deposit Saldo Rp 200.291 Melalui Bank BRI By Sistem,2023-09-07T20:18:29.000+08:00,2023-09-07T20:18:29.000+08:00,,07/09/2023,,,Deposit
54482631,760,+,500961,732584,#260577 Deposit Saldo Rp 500.961 Melalui Bank BRI By Sistem,2023-09-07T20:18:29.000+08:00,2023-09-07T20:18:29.000+08:00,,07/09/2023,,,Deposit
54482599,19255,+,2000282,2065759,#260575 Deposit Saldo Rp 2.000.282 Melalui Bank BRI By Sistem,2023-09-07T20:13:44.000+08:00,2023-09-07T20:13:44.000+08:00,,07/09/2023,,,Deposit
54482535,1760,+,500528,506937,#260574 Deposit Saldo Rp 500.528 Melalui Bank BRI By Sistem,2023-09-07T20:08:27.000+08:00,2023-09-07T20:08:27.000+08:00,,07/09/2023,,,Deposit
54482534,3287,+,300307,1288832,#260573 Deposit Saldo Rp 300.307 Melalui Bank BRI By Sistem,2023-09-07T20:08:27.000+08:00,2023-09-07T20:08:27.000+08:00,,07/09/2023,,,Deposit
54482517,19608,+,1000438,1226787,#260571 Deposit Saldo Rp 1.000.438 Melalui Bank BCA By Sistem,2023-09-07T20:05:51.000+08:00,2023-09-07T20:05:51.000+08:00,,07/09/2023,,,Deposit
54482500,3287,+,552143,1005348,#260572 Deposit Saldo Rp 552.143 Melalui Bank BNI By Sistem,2023-09-07T20:03:49.000+08:00,2023-09-07T20:03:49.000+08:00,,07/09/2023,,,Deposit
54482443,22193,+,150953,276209,#260570 Deposit Saldo Rp 150.953 Melalui Bank BCA By Sistem,2023-09-07T19:57:56.000+08:00,2023-09-07T19:57:56.000+08:00,,07/09/2023,,,Deposit
54482404,4369,+,250286,323846,#260569 Deposit Saldo Rp 250.286 Melalui Bank BCA By Sistem,2023-09-07T19:54:05.000+08:00,2023-09-07T19:54:05.000+08:00,,07/09/2023,,,Deposit
54482375,28999,+,286,286,Return Unique Code dari Invoice INV#39337,2023-09-07T19:51:01.000+08:00,2023-09-07T19:51:01.000+08:00,,07/09/2023,,,Refund
54482364,22870,+,100000,102679,Deposit Saldo Rp 100.000 Melalui Bank BCA #260558,2023-09-07T19:50:09.000+08:00,2023-09-07T19:50:09.000+08:00,,07/09/2023,,,Deposit
54482299,799,+,500857,509676,#260568 Deposit Saldo Rp 500.857 Melalui Bank BRI By Sistem,2023-09-07T19:43:53.000+08:00,2023-09-07T19:43:53.000+08:00,,07/09/2023,,,Deposit
54482297,19990,+,750213,1531438,#260565 Deposit Saldo Rp 750.213 Melalui Bank BRI By Sistem,2023-09-07T19:43:48.000+08:00,2023-09-07T19:43:48.000+08:00,,07/09/2023,,,Deposit
54482283,6196,+,100500,103602,#260567 Deposit Saldo Rp 100.500 Melalui Bank BCA By Sistem,2023-09-07T19:42:13.000+08:00,2023-09-07T19:42:13.000+08:00,,07/09/2023,,,Deposit
54482282,1964,+,200114,486933,#260564 Deposit Saldo Rp 200.114 Melalui Bank BCA By Sistem,2023-09-07T19:42:13.000+08:00,2023-09-07T19:42:13.000+08:00,,07/09/2023,,,Deposit
54482281,3210,+,3100454,5297824,#260566 Deposit Saldo Rp 3.100.454 Melalui Bank BCA By Sistem,2023-09-07T19:42:09.000+08:00,2023-09-07T19:42:09.000+08:00,,07/09/2023,,,Deposit
54482208,19577,+,1150117,1571838,#260563 Deposit Saldo Rp 1.150.117 Melalui Bank BRI By Sistem,2023-09-07T19:34:06.000+08:00,2023-09-07T19:34:06.000+08:00,,07/09/2023,,,Deposit
54482206,25189,+,100699,136756,#260562 Deposit Saldo Rp 100.699 Melalui Bank BRI By Sistem,2023-09-07T19:33:59.000+08:00,2023-09-07T19:33:59.000+08:00,,07/09/2023,,,Deposit
54482102,28998,+,372,372,Return Unique Code dari Invoice INV#39336,2023-09-07T19:24:12.000+08:00,2023-09-07T19:24:12.000+08:00,,07/09/2023,,,Refund
54482081,19990,+,1000142,1499876,#260560 Deposit Saldo Rp 1.000.142 Melalui Bank BCA By Sistem,2023-09-07T19:22:34.000+08:00,2023-09-07T19:22:34.000+08:00,,07/09/2023,,,Deposit
54482079,3287,+,299569,1068490,#260557 Deposit Saldo Rp 299.569 Melalui Bank Mandiri By Sistem,2023-09-07T19:22:34.000+08:00,2023-09-07T19:22:34.000+08:00,,07/09/2023,,,Deposit
54482074,3287,+,160265,788951,#260556 Deposit Saldo Rp 160.265 Melalui Bank Mandiri By Sistem,2023-09-07T19:21:53.000+08:00,2023-09-07T19:21:53.000+08:00,,07/09/2023,,,Deposit
54482044,21279,+,500886,833965,#260559 Deposit Saldo Rp 500.886 Melalui Bank BRI By Sistem,2023-09-07T19:19:21.000+08:00,2023-09-07T19:19:21.000+08:00,,07/09/2023,,,Deposit
54482043,3287,+,250850,628686,#260555 Deposit Saldo Rp 250.850 Melalui Bank BRI By Sistem,2023-09-07T19:19:20.000+08:00,2023-09-07T19:19:20.000+08:00,,07/09/2023,,,Deposit
54481958,20890,+,500362,1999141,#260554 Deposit Saldo Rp 500.362 Melalui Bank BNI By Sistem,2023-09-07T19:11:47.000+08:00,2023-09-07T19:11:47.000+08:00,,07/09/2023,,,Deposit
54481770,19991,+,105761,1106987,#2395937 Refund Trx BPJSKS.0001531362497,2023-09-07T18:54:32.000+08:00,2023-09-07T18:54:32.000+08:00,,07/09/2023,,,Refund
54481726,3773,+,197509,178633587,#2395911 Refund Trx HALO.08114213131,2023-09-07T18:51:06.000+08:00,2023-09-07T18:51:06.000+08:00,,07/09/2023,,,Refund
54481719,3210,+,27461,3418725,#2395909 Refund Trx PGN.00095612,2023-09-07T18:50:34.000+08:00,2023-09-07T18:50:34.000+08:00,,07/09/2023,,,Refund
54481713,21259,+,159418,11353629,#2395906 Refund Trx PLN.511420228472,2023-09-07T18:50:11.000+08:00,2023-09-07T18:50:11.000+08:00,,07/09/2023,,,Refund
54481710,3210,+,27461,3391264,#2395892 Refund Trx PGN.00095612,2023-09-07T18:49:51.000+08:00,2023-09-07T18:49:51.000+08:00,,07/09/2023,,,Refund
54481706,3773,+,48110,178524542,#2395880 Refund Trx PLN.533511659334,2023-09-07T18:49:18.000+08:00,2023-09-07T18:49:18.000+08:00,,07/09/2023,,,Refund
54481698,3773,+,35761,178476432,#2395871 Refund Trx BPJSKS.8888803293266544,2023-09-07T18:48:49.000+08:00,2023-09-07T18:48:49.000+08:00,,07/09/2023,,,Refund
54481691,3773,+,30996,178440671,#2395850 Refund Trx PAMKMGL.0412050107,2023-09-07T18:48:23.000+08:00,2023-09-07T18:48:23.000+08:00,,07/09/2023,,,Refund
54481687,3773,+,42221,178409675,#2395844 Refund Trx PLN.521511413984,2023-09-07T18:48:04.000+08:00,2023-09-07T18:48:04.000+08:00,,07/09/2023,,,Refund
54481686,3210,+,26975,3382028,#2395843 Refund Trx PLN.133733512256,2023-09-07T18:47:47.000+08:00,2023-09-07T18:47:47.000+08:00,,07/09/2023,,,Refund
54481678,3773,+,36711,178733565,#2395839 Refund Trx PAMKPUR.24010192,2023-09-07T18:47:17.000+08:00,2023-09-07T18:47:17.000+08:00,,07/09/2023,,,Refund
54481671,3773,+,51753,178696854,#2395834 Refund Trx PLN.522030762600,2023-09-07T18:46:51.000+08:00,2023-09-07T18:46:51.000+08:00,,07/09/2023,,,Refund
54481661,3773,+,236050,178678065,#2395816 Refund Trx PLN.521510058969,2023-09-07T18:46:06.000+08:00,2023-09-07T18:46:06.000+08:00,,07/09/2023,,,Refund
54481642,25109,+,100623,134365,#260553 Deposit Saldo Rp 100.623 Melalui Bank BCA By Sistem,2023-09-07T18:44:04.000+08:00,2023-09-07T18:44:04.000+08:00,,07/09/2023,,,Deposit
54481619,19990,+,850366,1920694,#260552 Deposit Saldo Rp 850.366 Melalui Bank BRI By Sistem,2023-09-07T18:42:12.000+08:00,2023-09-07T18:42:12.000+08:00,,07/09/2023,,,Deposit
54481598,6533,+,600834,605511,#260551 Deposit Saldo Rp 600.834 Melalui Bank BCA By Sistem,2023-09-07T18:40:14.000+08:00,2023-09-07T18:40:14.000+08:00,,07/09/2023,,,Deposit
54481578,20387,+,8000844,8745613,#260550 Deposit Saldo Rp 8.000.844 Melalui Bank BRI By Sistem,2023-09-07T18:37:10.000+08:00,2023-09-07T18:37:10.000+08:00,,07/09/2023,,,Deposit
54481530,19990,+,950707,1210448,#260549 Deposit Saldo Rp 950.707 Melalui Bank BRI By Sistem,2023-09-07T18:32:14.000+08:00,2023-09-07T18:32:14.000+08:00,,07/09/2023,,,Deposit
54481443,19991,+,1000774,1280487,#260548 Deposit Saldo Rp 1.000.774 Melalui Bank BCA By Sistem,2023-09-07T18:21:23.000+08:00,2023-09-07T18:21:23.000+08:00,,07/09/2023,,,Deposit
54481332,21259,+,10000950,12692162,#260546 Deposit Saldo Rp 10.000.950 Melalui Bank BRI By Sistem,2023-09-07T18:06:59.000+08:00,2023-09-07T18:06:59.000+08:00,,07/09/2023,,,Deposit
54481259,28915,+,500126,500973,#260545 Deposit Saldo Rp 500.126 Melalui Bank BCA By Sistem,2023-09-07T17:58:21.000+08:00,2023-09-07T17:58:21.000+08:00,,07/09/2023,,,Deposit
54481170,3830,+,1000654,1129408,#260543 Deposit Saldo Rp 1.000.654 Melalui Bank BRI By Sistem,2023-09-07T17:47:07.000+08:00,2023-09-07T17:47:07.000+08:00,,07/09/2023,,,Deposit
54481169,5451,+,1000224,3795343,#260544 Deposit Saldo Rp 1.000.224 Melalui Bank BRI By Sistem,2023-09-07T17:47:06.000+08:00,2023-09-07T17:47:06.000+08:00,,07/09/2023,,,Deposit
54481163,2,+,15000562,43085470,#260540 Deposit Saldo Rp 15.000.562 Melalui Bank BNI By Sistem,2023-09-07T17:46:22.000+08:00,2023-09-07T17:46:22.000+08:00,,07/09/2023,,,Deposit
54481159,19577,+,500578,1052552,Deposit Saldo Rp 500.578 Melalui Bank Mandiri #260541,2023-09-07T17:45:46.000+08:00,2023-09-07T17:45:46.000+08:00,,07/09/2023,,,Deposit
54481120,20103,+,100257,129795,#260542 Deposit Saldo Rp 100.257 Melalui Bank BCA By Sistem,2023-09-07T17:42:49.000+08:00,2023-09-07T17:42:49.000+08:00,,07/09/2023,,,Deposit
54481081,19990,+,500497,1020131,#260539 Deposit Saldo Rp 500.497 Melalui Bank BCA By Sistem,2023-09-07T17:39:02.000+08:00,2023-09-07T17:39:02.000+08:00,,07/09/2023,,,Deposit
54481062,19990,+,500422,519634,#260538 Deposit Saldo Rp 500.422 Melalui Bank BRI By Sistem,2023-09-07T17:37:20.000+08:00,2023-09-07T17:37:20.000+08:00,,07/09/2023,,,Deposit
54480940,25090,+,950908,1869872,#260537 Deposit Saldo Rp 950.908 Melalui Bank BCA By Sistem,2023-09-07T17:23:34.000+08:00,2023-09-07T17:23:34.000+08:00,,07/09/2023,,,Deposit
54480904,3287,+,330616,1543828,#260534 Deposit Saldo Rp 330.616 Melalui Bank Mandiri By Sistem,2023-09-07T17:20:06.000+08:00,2023-09-07T17:20:06.000+08:00,,07/09/2023,,,Deposit
54480901,4086,+,150912,304684,#260535 Deposit Saldo Rp 150.912 Melalui Bank BCA By Sistem,2023-09-07T17:19:50.000+08:00,2023-09-07T17:19:50.000+08:00,,07/09/2023,,,Deposit
54480880,3287,+,741675,1349137,#260536 Deposit Saldo Rp 741.675 Melalui Bank BNI By Sistem,2023-09-07T17:17:41.000+08:00,2023-09-07T17:17:41.000+08:00,,07/09/2023,,,Deposit
54480866,21184,+,500221,547982,#260533 Deposit Saldo Rp 500.221 Melalui Bank BCA By Sistem,2023-09-07T17:15:56.000+08:00,2023-09-07T17:15:56.000+08:00,,07/09/2023,,,Deposit
54480840,799,+,300365,463010,#260532 Deposit Saldo Rp 300.365 Melalui Bank BRI By Sistem,2023-09-07T17:12:46.000+08:00,2023-09-07T17:12:46.000+08:00,,07/09/2023,,,Deposit
54480818,20689,+,600972,1430966,#260531 Deposit Saldo Rp 600.972 Melalui Bank Mandiri By Sistem,2023-09-07T17:09:59.000+08:00,2023-09-07T17:09:59.000+08:00,,07/09/2023,,,Deposit
54480751,4224,+,2500734,5866510,#260530 Deposit Saldo Rp 2.500.734 Melalui Bank BRI By Sistem,2023-09-07T17:02:56.000+08:00,2023-09-07T17:02:56.000+08:00,,07/09/2023,,,Deposit
54480709,2060,+,500369,757843,#260529 Deposit Saldo Rp 500.369 Melalui Bank BRI By Sistem,2023-09-07T16:58:02.000+08:00,2023-09-07T16:58:02.000+08:00,,07/09/2023,,,Deposit
54480708,22194,+,700130,714116,#260528 Deposit Saldo Rp 700.130 Melalui Bank BRI By Sistem,2023-09-07T16:57:58.000+08:00,2023-09-07T16:57:58.000+08:00,,07/09/2023,,,Deposit
54480665,25648,+,500475,664754,#260527 Deposit Saldo Rp 500.475 Melalui Bank BCA By Sistem,2023-09-07T16:53:01.000+08:00,2023-09-07T16:53:01.000+08:00,,07/09/2023,,,Deposit
54480617,20571,+,105573,110692,#260526 Deposit Saldo Rp 105.573 Melalui Bank BCA By Sistem,2023-09-07T16:45:29.000+08:00,2023-09-07T16:45:29.000+08:00,,07/09/2023,,,Deposit
54480602,6273,+,250233,262582,#260525 Deposit Saldo Rp 250.233 Melalui Bank BRI By Sistem,2023-09-07T16:43:08.000+08:00,2023-09-07T16:43:08.000+08:00,,07/09/2023,,,Deposit
54480601,26714,+,200745,446403,#260524 Deposit Saldo Rp 200.745 Melalui Bank BRI By Sistem,2023-09-07T16:43:08.000+08:00,2023-09-07T16:43:08.000+08:00,,07/09/2023,,,Deposit
54480563,1899,+,6300426,6301524,#260523 Deposit Saldo Rp 6.300.426 Melalui Bank BRI By Sistem,2023-09-07T16:38:08.000+08:00,2023-09-07T16:38:08.000+08:00,,07/09/2023,,,Deposit
54480520,2037,+,1000836,1320824,#260522 Deposit Saldo Rp 1.000.836 Melalui Bank BCA By Sistem,2023-09-07T16:34:11.000+08:00,2023-09-07T16:34:11.000+08:00,,07/09/2023,,,Deposit
