id,customer_id,type,nominal,balance,description,created_at,updated_at,unique_id,tgl_transaksi,kode_transaksi,type_transaksi,kategori_transaksi
54443309,22216,-,300000,185638,Order Addon,2023-09-01T22:26:41.000+08:00,2023-09-01T22:26:41.000+08:00,,01/09/2023,,,Addon
54443249,3694,-,25,6492,Pemotongan Fee Multivendor | Total Trx : 1,2023-09-01T22:00:57.000+08:00,2023-09-01T22:00:57.000+08:00,,01/09/2023,,,Payment
54443248,4426,-,2,1035,Pemotongan Fee Multivendor | Total Trx : 2,2023-09-01T22:00:56.000+08:00,2023-09-01T22:00:56.000+08:00,,01/09/2023,,,Payment
54443247,3353,-,173,558437,Pemotongan Fee Multivendor | Total Trx : 173,2023-09-01T22:00:56.000+08:00,2023-09-01T22:00:56.000+08:00,,01/09/2023,,,Payment
54443246,6259,-,72,271177,Pemotongan Fee Multivendor | Total Trx : 72,2023-09-01T22:00:56.000+08:00,2023-09-01T22:00:56.000+08:00,,01/09/2023,,,Payment
54443245,21493,-,96,196418,Pemotongan Fee Multivendor | Total Trx : 54,2023-09-01T22:00:55.000+08:00,2023-09-01T22:00:55.000+08:00,,01/09/2023,,,Payment
54443244,3324,-,334,703142,Pemotongan Fee Multivendor | Total Trx : 334,2023-09-01T22:00:53.000+08:00,2023-09-01T22:00:53.000+08:00,,01/09/2023,,,Payment
54443243,21471,-,39,166576,Pemotongan Fee Multivendor | Total Trx : 26,2023-09-01T22:00:53.000+08:00,2023-09-01T22:00:53.000+08:00,,01/09/2023,,,Payment
54443242,5216,-,60,262534,Pemotongan Fee Multivendor | Total Trx : 60,2023-09-01T22:00:53.000+08:00,2023-09-01T22:00:53.000+08:00,,01/09/2023,,,Payment
54443241,4755,-,6,107619,Pemotongan Fee Multivendor | Total Trx : 6,2023-09-01T22:00:52.000+08:00,2023-09-01T22:00:52.000+08:00,,01/09/2023,,,Payment
54443240,2680,-,2,317618,Pemotongan Fee Multivendor | Total Trx : 2,2023-09-01T22:00:52.000+08:00,2023-09-01T22:00:52.000+08:00,,01/09/2023,,,Payment
54443239,5204,-,35,506895,Pemotongan Fee Multivendor | Total Trx : 26,2023-09-01T22:00:51.000+08:00,2023-09-01T22:00:51.000+08:00,,01/09/2023,,,Payment
54443238,21453,-,35,511254,Pemotongan Fee Multivendor | Total Trx : 35,2023-09-01T22:00:50.000+08:00,2023-09-01T22:00:50.000+08:00,,01/09/2023,,,Payment
54443237,6568,-,56,105544,Pemotongan Fee Multivendor | Total Trx : 56,2023-09-01T22:00:49.000+08:00,2023-09-01T22:00:49.000+08:00,,01/09/2023,,,Payment
54443236,2831,-,855,462138,Pemotongan Fee Multivendor | Total Trx : 855,2023-09-01T22:00:48.000+08:00,2023-09-01T22:00:48.000+08:00,,01/09/2023,,,Payment
54443235,2831,-,855,462138,Pemotongan Fee Multivendor | Total Trx : 855,2023-09-01T22:00:48.000+08:00,2023-09-01T22:00:48.000+08:00,,01/09/2023,,,Payment
54443234,25648,-,391,338873,Pemotongan Fee Multivendor | Total Trx : 43,2023-09-01T22:00:47.000+08:00,2023-09-01T22:00:47.000+08:00,,01/09/2023,,,Payment
54443233,589,-,13,141105,Pemotongan Fee Multivendor | Total Trx : 13,2023-09-01T22:00:47.000+08:00,2023-09-01T22:00:47.000+08:00,,01/09/2023,,,Payment
