kode_transaksi,nominal,tanggal_transaksi,customer_id,product_id,product_name,product_category,total_transaksi,margin,status_transaksi
2360962,13659,01/09/2023,3773,PLN,PLN,PLN Pascabayar,13659,11,PAID
2360963,117860,01/09/2023,3773,PLN,PLN,PLN Pascabayar,117860,11,PAID
2360965,102319,01/09/2023,3773,PLN,PLN,PLN Pascabayar,102319,11,PAID
2360967,52022,01/09/2023,3773,PLN,PLN,PLN Pascabayar,52022,11,PAID
2360970,76108,01/09/2023,3773,PLN,PLN,PLN Pascabayar,76108,11,PAID
2361050,249313,01/09/2023,3773,PLN,PLN,PLN Pascabayar,249313,11,PAID
2361065,58011,01/09/2023,21259,PLN,PLN,PLN Pascabayar,58011,11,PAID
2361157,70935,01/09/2023,4417,PLN,PLN,PLN Pascabayar,70935,11,PAID
2361173,25653,01/09/2023,20103,PLN,PLN,PLN Pascabayar,25653,11,PAID
2361186,519668,01/09/2023,3773,PLN,PLN,PLN Pascabayar,519668,11,PAID
2361189,695790,01/09/2023,3773,PLN,PLN,PLN Pascabayar,695790,11,PAID
2361192,193191,01/09/2023,3773,PLN,PLN,PLN Pascabayar,193191,11,PAID
2361194,2107449,01/09/2023,3773,PLN,PLN,PLN Pascabayar,2107449,11,PAID
2361228,62761,01/09/2023,21259,PAMKBRAU,PDAM Kab. Berau,PDAM,62761,11,PAID
2361246,14461,01/09/2023,21259,PAMKBRAU,PDAM Kab. Berau,PDAM,14461,11,PAID
2361285,57486,01/09/2023,3773,PLN,PLN,PLN Pascabayar,57486,11,PAID
2361292,172011,01/09/2023,3773,PAMKTMG,PDAM Kab. Temanggung,PDAM,172011,11,PAID
2361337,56946,01/09/2023,3773,PLN,PLN,PLN Pascabayar,56946,11,PAID
2361369,16035,01/09/2023,3539,PLN,PLN,PLN Pascabayar,16035,11,PAID
2361444,179780,01/09/2023,3773,PLN,PLN,PLN Pascabayar,179780,11,PAID
2361445,96334,01/09/2023,2037,PLN,PLN,PLN Pascabayar,96334,11,PAID
2361448,124052,01/09/2023,3773,PLN,PLN,PLN Pascabayar,124052,11,PAID
2361457,63421,01/09/2023,3773,PLN,PLN,PLN Pascabayar,63421,11,PAID
2361461,69896,01/09/2023,3773,PLN,PLN,PLN Pascabayar,69896,11,PAID
2361467,110024,01/09/2023,3773,PLN,PLN,PLN Pascabayar,110024,11,PAID
2361470,138787,01/09/2023,3773,PLN,PLN,PLN Pascabayar,138787,11,PAID
2361471,5706,01/09/2023,3773,PLN,PLN,PLN Pascabayar,5706,11,PAID
2361473,287629,01/09/2023,3773,PLN,PLN,PLN Pascabayar,287629,11,PAID
2361476,11097,01/09/2023,3773,PLN,PLN,PLN Pascabayar,11097,11,PAID
2361515,176535,01/09/2023,3773,PLN,PLN,PLN Pascabayar,176535,11,PAID
2361523,193383,01/09/2023,3210,PAMKSTB,PDAM Kab. Situbondo,PDAM,193383,11,PAID
2361528,14055,01/09/2023,2,PLN,PLN,PLN Pascabayar,14055,11,PAID
2361555,117161,01/09/2023,3773,PAMMLG,PDAM Kota Malang,PDAM,117161,11,PAID
2361562,70078,01/09/2023,3773,PLN,PLN,PLN Pascabayar,70078,11,PAID
2361563,31331,01/09/2023,21259,PLN,PLN,PLN Pascabayar,31331,11,PAID
2361571,54461,01/09/2023,21259,PAMKMJKT,PDAM Kab. Mojokerto,PDAM,54461,11,PAID
2361581,49299,01/09/2023,3773,PLN,PLN,PLN Pascabayar,49299,11,PAID
2361583,22562,01/09/2023,1899,PLN,PLN,PLN Pascabayar,22562,11,PAID
2361644,50711,01/09/2023,3773,PAMKBLL,PDAM Kab. Buleleng,PDAM,50711,11,PAID
2361659,149032,01/09/2023,5581,PLN,PLN,PLN Pascabayar,149032,11,PAID
2361668,78010,01/09/2023,3773,PLN,PLN,PLN Pascabayar,78010,11,PAID
2361676,41300,01/09/2023,2935,PLN,PLN,PLN Pascabayar,41300,11,PAID
2361678,30786,01/09/2023,21259,PLN,PLN,PLN Pascabayar,30786,11,PAID
2361679,27561,01/09/2023,2935,PLN,PLN,PLN Pascabayar,27561,11,PAID
2361687,88780,01/09/2023,2935,PLN,PLN,PLN Pascabayar,88780,11,PAID
2361692,20391,01/09/2023,21259,PLN,PLN,PLN Pascabayar,20391,11,PAID
2361726,77111,01/09/2023,3773,PLN,PLN,PLN Pascabayar,77111,11,PAID
2361757,19281,01/09/2023,3773,PLN,PLN,PLN Pascabayar,19281,11,PAID
2361764,6483,01/09/2023,3773,PLN,PLN,PLN Pascabayar,6483,11,PAID
2361772,15318,01/09/2023,3773,PLN,PLN,PLN Pascabayar,15318,11,PAID
2361776,34596,01/09/2023,3773,PLN,PLN,PLN Pascabayar,34596,11,PAID
2361801,327445,01/09/2023,19463,PLN,PLN,PLN Pascabayar,327445,11,PAID
2361810,85012,01/09/2023,3773,PLN,PLN,PLN Pascabayar,85012,11,PAID
2361814,104832,01/09/2023,3773,PLN,PLN,PLN Pascabayar,104832,11,PAID
2361818,27835,01/09/2023,3773,PLN,PLN,PLN Pascabayar,27835,11,PAID
2361821,227383,01/09/2023,3773,PLN,PLN,PLN Pascabayar,227383,11,PAID
2361825,50961,01/09/2023,3773,PAMKNGN,PDAM Kab. Kuningan,PDAM,50961,11,PAID
2361827,55866,01/09/2023,19608,PLN,PLN,PLN Pascabayar,55866,11,PAID
2361829,112011,01/09/2023,3773,PAMKNGN,PDAM Kab. Kuningan,PDAM,112011,11,PAID
2361831,232711,01/09/2023,3773,INDOVISION,Indovision,TV Pascabayar,232711,11,PAID
2361853,26941,01/09/2023,3773,PLN,PLN,PLN Pascabayar,26941,11,PAID
2361856,216027,01/09/2023,3773,PLN,PLN,PLN Pascabayar,216027,11,PAID
2361862,105761,01/09/2023,20387,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2361870,89331,01/09/2023,3773,PLN,PLN,PLN Pascabayar,89331,11,PAID
2361871,70761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2361902,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2361910,98416,01/09/2023,1261,PLN,PLN,PLN Pascabayar,98416,11,PAID
2361913,105761,01/09/2023,5451,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2361924,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2361942,8866,01/09/2023,3773,PLN,PLN,PLN Pascabayar,8866,11,PAID
2361943,61561,01/09/2023,2875,PAMKSDJ,PDAM Sidoarjo,PDAM,61561,11,PAID
2361945,131961,01/09/2023,2875,PAMKSDJ,PDAM Sidoarjo,PDAM,131961,11,PAID
2361948,48361,01/09/2023,2875,PAMKSDJ,PDAM Sidoarjo,PDAM,48361,11,PAID
2361949,70761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2361957,224463,01/09/2023,3210,PLN,PLN,PLN Pascabayar,224463,11,PAID
2361976,51367,01/09/2023,3773,PLN,PLN,PLN Pascabayar,51367,11,PAID
2361989,239700,01/09/2023,3773,PLN,PLN,PLN Pascabayar,239700,11,PAID
2362028,9341,01/09/2023,19901,PLN,PLN,PLN Pascabayar,9341,11,PAID
2362033,61802,01/09/2023,19901,PLN,PLN,PLN Pascabayar,61802,11,PAID
2362037,9766,01/09/2023,19901,PLN,PLN,PLN Pascabayar,9766,11,PAID
2362039,349483,01/09/2023,3773,PLN,PLN,PLN Pascabayar,349483,11,PAID
2362044,5459,01/09/2023,3178,PLN,PLN,PLN Pascabayar,5459,11,PAID
2362104,108827,01/09/2023,3773,PLN,PLN,PLN Pascabayar,108827,11,PAID
2362108,93661,01/09/2023,21259,PAMBTM,PDAM ATB Batam,PDAM,93661,11,PAID
2362109,113288,01/09/2023,3773,PLN,PLN,PLN Pascabayar,113288,11,PAID
2362115,35761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2362144,35761,01/09/2023,1760,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2362196,35761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,35761,11,PAID
2362217,140761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,140761,11,PAID
2362228,163415,01/09/2023,19990,BPJSKS,BPJS Kesehatan,BPJS,163415,11,PAID
2362229,33557,01/09/2023,3773,PLN,PLN,PLN Pascabayar,33557,11,PAID
2362231,12752,01/09/2023,19577,PLN,PLN,PLN Pascabayar,12752,11,PAID
2362239,105761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2362245,29918,01/09/2023,3773,PLN,PLN,PLN Pascabayar,29918,11,PAID
2362253,29211,01/09/2023,26844,PAMKBGR,PDAM Kab. Bogor,PDAM,29211,11,PAID
2362271,280761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,280761,11,PAID
2362292,7499,01/09/2023,3773,PLN,PLN,PLN Pascabayar,7499,11,PAID
2362302,18761,01/09/2023,3773,PAMKWSB,PDAM Kab. Wonosobo,PDAM,18761,11,PAID
2362315,33296,01/09/2023,3773,PAMKWSB,PDAM Kab. Wonosobo,PDAM,33296,11,PAID
2362322,124592,01/09/2023,3773,PLN,PLN,PLN Pascabayar,124592,11,PAID
2362325,51011,01/09/2023,3773,PLN,PLN,PLN Pascabayar,51011,11,PAID
2362334,163848,01/09/2023,1899,PLN,PLN,PLN Pascabayar,163848,11,PAID
2362335,73710,01/09/2023,3773,PLN,PLN,PLN Pascabayar,73710,11,PAID
2362344,20061,01/09/2023,1899,PLN,PLN,PLN Pascabayar,20061,11,PAID
2362381,210761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,210761,11,PAID
2362404,70761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2362408,70761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2362424,13935,01/09/2023,3773,PLN,PLN,PLN Pascabayar,13935,11,PAID
2362426,70761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2362428,70761,01/09/2023,21259,BPJSKS,BPJS Kesehatan,BPJS,70761,11,PAID
2362440,76711,01/09/2023,3815,PAMBTM,PDAM ATB Batam,PDAM,76711,11,PAID
2362442,71061,01/09/2023,3815,PAMBTM,PDAM ATB Batam,PDAM,71061,11,PAID
2362446,49641,01/09/2023,3815,PAMBTM,PDAM ATB Batam,PDAM,49641,11,PAID
2362450,42051,01/09/2023,3815,PAMBTM,PDAM ATB Batam,PDAM,42051,11,PAID
2362452,88011,01/09/2023,3815,PAMBTM,PDAM ATB Batam,PDAM,88011,11,PAID
2362472,42765,01/09/2023,1899,PLN,PLN,PLN Pascabayar,42765,11,PAID
2362479,322862,01/09/2023,20800,PLN,PLN,PLN Pascabayar,322862,11,PAID
2362488,56261,01/09/2023,21259,PAMPNTNK,PDAM Kota Pontianak,PDAM,56261,11,PAID
2362493,39498,01/09/2023,3210,PLN,PLN,PLN Pascabayar,39498,11,PAID
2362503,7944,01/09/2023,24585,PLN,PLN,PLN Pascabayar,7944,11,PAID
2362519,61802,01/09/2023,3773,PLN,PLN,PLN Pascabayar,61802,11,PAID
2362524,56395,01/09/2023,5496,PAMMDN,PDAM Medan,PDAM,56395,11,PAID
2362558,92483,01/09/2023,2217,PLN,PLN,PLN Pascabayar,92483,11,PAID
2362572,13659,01/09/2023,21259,PLN,PLN,PLN Pascabayar,13659,11,PAID
2362573,64893,01/09/2023,5451,PAMATNG,PDAM Tangerang ( Aetra ),PDAM,64893,11,PAID
2362579,87618,01/09/2023,21259,PLN,PLN,PLN Pascabayar,87618,11,PAID
2362584,137083,01/09/2023,21259,PLN,PLN,PLN Pascabayar,137083,11,PAID
2362587,105761,01/09/2023,3773,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2362592,115184,01/09/2023,21259,PLN,PLN,PLN Pascabayar,115184,11,PAID
2362599,14184,01/09/2023,19608,PLN,PLN,PLN Pascabayar,14184,11,PAID
2362601,36839,01/09/2023,3773,PLN,PLN,PLN Pascabayar,36839,11,PAID
2362612,56426,01/09/2023,3773,PLN,PLN,PLN Pascabayar,56426,11,PAID
2362635,179131,01/09/2023,2217,PLN,PLN,PLN Pascabayar,179131,11,PAID
2362637,28901,01/09/2023,21383,PAMSBY,PDAM Surabaya,PDAM,28901,11,PAID
2362639,11896,01/09/2023,2217,PLN,PLN,PLN Pascabayar,11896,11,PAID
2362661,93291,01/09/2023,3773,PAMSBY,PDAM Surabaya,PDAM,93291,11,PAID
2362663,115022,01/09/2023,3773,PLN,PLN,PLN Pascabayar,115022,11,PAID
2362669,14322,01/09/2023,3773,PLN,PLN,PLN Pascabayar,14322,11,PAID
2362672,235239,01/09/2023,3773,PLN,PLN,PLN Pascabayar,235239,11,PAID
2362676,33501,01/09/2023,20624,PLN,PLN,PLN Pascabayar,33501,11,PAID
2362697,26451,01/09/2023,3773,PAMSBY,PDAM Surabaya,PDAM,26451,11,PAID
2362702,105761,01/09/2023,3741,BPJSKS,BPJS Kesehatan,BPJS,105761,11,PAID
2362703,330606,01/09/2023,3773,PLN,PLN,PLN Pascabayar,330606,11,PAID
2362710,13537,01/09/2023,19520,PLN,PLN,PLN Pascabayar,13537,11,PAID
2362719,47666,01/09/2023,3773,PLN,PLN,PLN Pascabayar,47666,11,PAID
2362727,358149,01/09/2023,18957,PLN,PLN,PLN Pascabayar,358149,11,PAID
2362734,79608,01/09/2023,3773,PLN,PLN,PLN Pascabayar,79608,11,PAID
